sos_id,submitted_at,user_id,latitude,longitude,location_name,request_type,severity,people_count,description,contact_number,status,assigned_to,resolved_at,photo_id,source
SOS0039,2026-08-31T10:24:50Z,U1613,27.2658,88.5944,"Gangtok, Sikkim",missing_person,low,13,"SOS from Gangtok, Sikkim: rescue needed urgently.",+919965734008,acknowledged,,,,resqnet_citizen
SOS0040,2026-09-09T19:02:50Z,U5965,27.0466,93.6739,"Itanagar, Arunachal",medical,moderate,5,"SOS from Itanagar, Arunachal: shelter needed urgently.",+918903145590,assigned,,,PH0040,resqnet_citizen
SOS0041,2026-09-02T22:56:50Z,U7671,23.7753,92.7695,"Aizawl, Mizoram",rescue,low,17,"SOS from Aizawl, Mizoram: food needed urgently.",+917281822724,assigned,RESP013,,PH0041,resqnet_citizen
SOS0042,2026-09-01T05:43:50Z,U4158,24.408,93.6231,"Churachandpur, Manipur",trapped,moderate,2,"SOS from Churachandpur, Manipur: evacuation needed urgently.",+917217150457,assigned,RESP009,,,resqnet_citizen
SOS0043,2026-08-31T02:11:50Z,U1500,23.7799,91.2846,"Agartala, Tripura",evacuation,moderate,16,"SOS from Agartala, Tripura: rescue needed urgently.",+918478538226,acknowledged,RESP009,2026-09-08T20:53:50Z,,resqnet_citizen
SOS0044,2026-08-27T11:05:50Z,U4511,24.8884,93.9663,"Imphal, Manipur",water,high,14,"SOS from Imphal, Manipur: trapped needed urgently.",+919930025537,pending,RESP005,2026-09-09T22:38:50Z,PH0044,resqnet_citizen
SOS0045,2026-08-29T07:13:50Z,U5511,25.6599,94.0839,"Kohima, Nagaland",rescue,critical,9,"SOS from Kohima, Nagaland: water needed urgently.",+919004452735,assigned,RESP020,,,resqnet_citizen
SOS0046,2026-08-30T18:19:50Z,U5631,25.8597,93.6516,"Dimapur, Nagaland",medical,high,9,"SOS from Dimapur, Nagaland: rescue needed urgently.",+918189211712,assigned,RESP010,,,resqnet_citizen
SOS0047,2026-08-27T04:03:50Z,U7620,23.7592,92.7538,"Aizawl, Mizoram",trapped,critical,10,"SOS from Aizawl, Mizoram: shelter needed urgently.",+918797725951,in_progress,,,PH0047,resqnet_citizen
SOS0048,2026-08-27T23:33:50Z,U4643,24.8706,92.8066,"Silchar, Assam",evacuation,high,17,"SOS from Silchar, Assam: shelter needed urgently.",+917730087155,cancelled,RESP006,,,resqnet_citizen
SOS0049,2026-09-05T06:03:50Z,U3999,26.7232,92.8725,"Tezpur, Assam",medical,moderate,12,"SOS from Tezpur, Assam: water needed urgently.",+918318921193,in_progress,RESP011,,,resqnet_citizen
SOS0050,2026-08-28T02:24:50Z,U1879,27.4047,88.6305,"Gangtok, Sikkim",medical,critical,7,"SOS from Gangtok, Sikkim: medical needed urgently.",+919923574632,in_progress,RESP014,,PH0050,resqnet_citizen
SOS0051,2026-09-06T19:28:50Z,U8496,24.7456,94.0093,"Imphal, Manipur",food,low,16,"SOS from Imphal, Manipur: rescue needed urgently.",+919710265109,acknowledged,,,,resqnet_citizen
SOS0052,2026-08-29T00:18:50Z,U3595,23.725,92.7703,"Aizawl, Mizoram",medical,moderate,20,"SOS from Aizawl, Mizoram: missing_person needed urgently.",+919720808271,in_progress,RESP016,,,resqnet_citizen
SOS0053,2026-08-29T18:54:50Z,U6279,23.7785,92.7238,"Aizawl, Mizoram",trapped,low,8,"SOS from Aizawl, Mizoram: water needed urgently.",+919978666109,assigned,,,,resqnet_citizen
SOS0054,2026-09-08T03:02:50Z,U1749,25.6347,94.0668,"Kohima, Nagaland",rescue,critical,5,"SOS from Kohima, Nagaland: rescue needed urgently.",+919105301413,assigned,RESP006,2026-09-04T05:40:50Z,,resqnet_citizen
SOS0055,2026-09-06T06:53:50Z,U9267,24.7508,93.9101,"Imphal, Manipur",trapped,critical,9,"SOS from Imphal, Manipur: trapped needed urgently.",+919550884435,pending,RESP001,,,resqnet_citizen
SOS0056,2026-09-04T02:19:50Z,U5140,27.3263,88.5444,"Gangtok, Sikkim",trapped,high,14,"SOS from Gangtok, Sikkim: medical needed urgently.",+919845342687,resolved,,2026-09-07T16:01:50Z,PH0056,resqnet_citizen
SOS0057,2026-08-29T10:47:50Z,U5631,25.8228,93.6513,"Dimapur, Nagaland",water,moderate,9,"SOS from Dimapur, Nagaland: water needed urgently.",+918537262560,cancelled,RESP006,,,resqnet_citizen
SOS0058,2026-08-29T14:33:50Z,U4842,23.6276,92.7519,"Aizawl, Mizoram",medical,critical,5,"SOS from Aizawl, Mizoram: medical needed urgently.",+919197757742,pending,RESP004,2026-09-06T15:36:50Z,,resqnet_citizen
SOS0059,2026-09-08T23:59:50Z,U1646,26.2149,91.7082,"Guwahati, Assam",rescue,critical,4,"SOS from Guwahati, Assam: medical needed urgently.",+917197092148,pending,RESP006,,PH0059,resqnet_citizen
SOS0060,2026-09-05T06:49:50Z,U7105,24.8963,92.7155,"Silchar, Assam",missing_person,critical,15,"SOS from Silchar, Assam: shelter needed urgently.",+918656635401,cancelled,RESP014,2026-09-08T02:46:50Z,PH0060,resqnet_citizen
