responder_id,name,team,role,latitude,longitude,location_name,capabilities,availability,assigned_sos_id,contact_number,last_reported_at,source
RESP031,Responder_031,Police,volunteer,26.7807,92.7886,"Tezpur, Assam",logistics|rescue,off_duty,SOS0057,+917059928520,2026-09-08T17:05:50Z,authority_volunteer_portal
RESP032,Responder_032,SDRF,volunteer,26.1273,91.8873,"Guwahati, Assam",medical|search|first_aid|communication,on_mission,,+917699137133,2026-09-09T12:30:50Z,authority_volunteer_portal
RESP033,Responder_033,Civil_Defence,volunteer,25.8592,93.6518,"Dimapur, Nagaland",logistics,off_duty,,+917814461270,2026-09-08T09:56:50Z,authority_volunteer_portal
RESP034,Responder_034,SDRF,team_leader,26.0164,91.7704,"Guwahati, Assam",driving|trauma_support,on_mission,,+917389254115,2026-09-09T05:43:50Z,authority_volunteer_portal
RESP035,Responder_035,Civil_Defence,operator,27.4081,88.7767,"Gangtok, Sikkim",driving|rescue,on_mission,SOS0008,+916391663395,2026-09-09T07:26:50Z,authority_volunteer_portal
RESP036,Responder_036,Medical_Team,medic,26.7024,94.1559,"Jorhat, Assam",rescue|mountaineering|search,on_mission,SOS0037,+919742228209,2026-09-09T23:59:50Z,authority_volunteer_portal
RESP037,Responder_037,Civil_Defence,operator,24.9091,94.1212,"Imphal, Manipur",first_aid|search,off_duty,SOS0008,+919859208130,2026-09-09T23:54:50Z,authority_volunteer_portal
RESP038,Responder_038,Army,team_leader,24.8765,92.7763,"Silchar, Assam",first_aid|driving|mountaineering,on_mission,,+918043167435,2026-09-08T16:26:50Z,authority_volunteer_portal
RESP039,Responder_039,Medical_Team,operator,25.6267,91.9163,"Shillong, Meghalaya",logistics,on_mission,,+916636755414,2026-09-09T09:32:50Z,authority_volunteer_portal
RESP040,Responder_040,Red_Cross_Volunteer,team_leader,25.9641,91.703,"Guwahati, Assam",first_aid|communication,on_mission,,+917221405125,2026-09-09T15:07:50Z,authority_volunteer_portal
RESP041,Responder_041,Red_Cross_Volunteer,operator,24.9923,92.907,"Silchar, Assam",first_aid|rescue|communication,standby,SOS0005,+917257706935,2026-09-09T01:47:50Z,authority_volunteer_portal
RESP042,Responder_042,Medical_Team,medic,26.7121,92.8374,"Tezpur, Assam",medical|mountaineering|search,available,,+918701442510,2026-09-09T14:08:50Z,authority_volunteer_portal
RESP043,Responder_043,Medical_Team,operator,26.8046,92.8383,"Tezpur, Assam",search|medical|communication,standby,,+918713807766,2026-09-08T14:03:50Z,authority_volunteer_portal
RESP044,Responder_044,NDRF,team_leader,24.6266,93.987,"Imphal, Manipur",communication|logistics,available,SOS0014,+919434102725,2026-09-08T16:52:50Z,authority_volunteer_portal
RESP045,Responder_045,Fire_Brigade,operator,26.9862,93.4324,"Itanagar, Arunachal",mountaineering|logistics|first_aid,off_duty,,+917391242279,2026-09-10T02:11:50Z,authority_volunteer_portal
RESP046,Responder_046,Fire_Brigade,operator,27.2179,93.7742,"Itanagar, Arunachal",search|first_aid|flood_ops,standby,SOS0052,+916152721525,2026-09-09T14:45:50Z,authority_volunteer_portal
RESP047,Responder_047,NGO_Volunteer,team_leader,26.8849,94.1234,"Jorhat, Assam",mountaineering|medical|driving|search,off_duty,,+916080395064,2026-09-09T11:11:50Z,authority_volunteer_portal
RESP048,Responder_048,NDRF,operator,27.2778,93.6559,"Itanagar, Arunachal",rescue|flood_ops|communication,on_mission,,+917673174406,2026-09-09T10:47:50Z,authority_volunteer_portal
RESP049,Responder_049,NGO_Volunteer,team_leader,25.2828,91.6211,"Cherrapunji, Meghalaya",medical|first_aid|communication,standby,SOS0020,+916928313711,2026-09-09T00:47:50Z,authority_volunteer_portal
RESP050,Responder_050,SDRF,volunteer,27.0868,93.7249,"Itanagar, Arunachal",logistics,on_mission,,+919966989720,2026-09-08T05:59:50Z,authority_volunteer_portal
RESP051,Responder_051,Medical_Team,medic,25.7821,93.5446,"Dimapur, Nagaland",medical|flood_ops|rescue,standby,SOS0034,+916497511785,2026-09-09T19:55:50Z,authority_volunteer_portal
RESP052,Responder_052,Army,team_leader,25.9857,91.8427,"Guwahati, Assam",medical,off_duty,,+919257706152,2026-09-08T08:57:50Z,authority_volunteer_portal
RESP053,Responder_053,Civil_Defence,operator,23.8362,92.786,"Aizawl, Mizoram",logistics|trauma_support|communication,off_duty,,+917175261501,2026-09-10T05:15:50Z,authority_volunteer_portal
RESP054,Responder_054,Medical_Team,operator,25.9197,93.6384,"Dimapur, Nagaland",logistics,off_duty,,+916735620429,2026-09-09T20:15:50Z,authority_volunteer_portal
RESP055,Responder_055,Police,team_leader,24.3213,93.7532,"Churachandpur, Manipur",mountaineering|driving|first_aid,available,,+916369880788,2026-09-08T17:43:50Z,authority_volunteer_portal
RESP056,Responder_056,Fire_Brigade,team_leader,26.8233,92.8949,"Tezpur, Assam",trauma_support|medical|communication|flood_ops,standby,,+916399071914,2026-09-09T02:25:50Z,authority_volunteer_portal
RESP057,Responder_057,Search_And_Rescue,operator,25.8402,94.0654,"Kohima, Nagaland",driving|logistics|mountaineering|rescue,off_duty,SOS0057,+917394838271,2026-09-08T14:53:50Z,authority_volunteer_portal
RESP058,Responder_058,Police,operator,25.686,91.9351,"Shillong, Meghalaya",rescue|medical|driving|logistics,on_mission,,+917742408003,2026-09-09T19:19:50Z,authority_volunteer_portal
RESP059,Responder_059,Medical_Team,volunteer,26.7112,94.1691,"Jorhat, Assam",communication,on_mission,,+918071783372,2026-09-09T03:33:50Z,authority_volunteer_portal
RESP060,Responder_060,SDRF,volunteer,23.5728,92.756,"Aizawl, Mizoram",search|medical|logistics|rescue,off_duty,,+919530562130,2026-09-09T00:35:50Z,authority_volunteer_portal
